full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Emeka Okonkwo,JSS 1,Junior,Male,11,Chief Obiora Okonkwo,08031234571,None
Chioma Eze,JSS 1,Junior,Female,11,Mrs Nkechi Eze,08042345682,None
Ibrahim Suleiman,JSS 1,Junior,Male,10,Alhaji Kabir Suleiman,08053456793,None
Amina Mohammed,JSS 1,Junior,Female,11,Hajia Fatima Mohammed,08064567804,None
Oluwaseun Adebayo,JSS 1,Junior,Male,11,Mr Femi Adebayo,08075678915,None
Blessing Okafor,JSS 1,Junior,Female,10,Mrs Ngozi Okafor,08086789026,None
Musa Bello,JSS 1,Junior,Male,11,Alhaji Yusuf Bello,08097890137,None
Zainab Abubakar,JSS 1,Junior,Female,11,Hajia Aisha Abubakar,08108901248,None
Chinedu Nwachukwu,JSS 1,Junior,Male,10,Mr Emeka Nwachukwu,08119012359,None
Grace Williams,JSS 1,Junior,Female,11,Mrs Joy Williams,08120123470,None
Yusuf Tanko,JSS 1,Junior,Male,11,Alhaji Sani Tanko,08131234581,None
Maryam Ibrahim,JSS 1,Junior,Female,10,Hajia Halima Ibrahim,08142345692,None
Daniel Johnson,JSS 1,Junior,Male,11,Mr Peter Johnson,08153456703,None
Sarah Brown,JSS 1,Junior,Female,11,Mrs Patience Brown,08164567814,None
Abdullahi Nuhu,JSS 1,Junior,Male,10,Alhaji Musa Nuhu,08175678925,None
Aisha Haruna,JSS 1,Junior,Female,11,Hajia Zainab Haruna,08186789036,None
Kabiru Adamu,JSS 1,Junior,Male,11,Alhaji Bello Adamu,08197890147,None
Fatima Yusuf,JSS 1,Junior,Female,10,Hajia Amina Yusuf,08208901258,None
Samuel Okoro,JSS 1,Junior,Male,11,Pastor John Okoro,08219012369,None
Ruth Daniel,JSS 1,Junior,Female,11,Mrs Grace Daniel,08220123480,None
Obinna Chukwu,JSS 1,Junior,Male,10,Mr Ifeanyi Chukwu,08231234591,None
Adaeze Onyema,JSS 1,Junior,Female,11,Dr Uche Onyema,08242345602,None
Suleiman Ahmed,JSS 1,Junior,Male,11,Alhaji Musa Ahmed,08253456713,None
Khadija Bala,JSS 1,Junior,Female,10,Hajia Maryam Bala,08264567824,None
Chukwudi Eze,JSS 1,Junior,Male,11,Mr Jude Eze,08275678935,None
Ngozi Nwosu,JSS 1,Junior,Female,11,Mrs Amaka Nwosu,08286789046,None
Musa Kabir,JSS 1,Junior,Male,10,Alhaji Haruna Kabir,08297890157,None
Halima Sani,JSS 1,Junior,Female,11,Hajia Fatima Sani,08308901268,None
Ifeanyi Okafor,JSS 1,Junior,Male,11,Mr Chinedu Okafor,08319012379,None
