full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Ahmed Suleiman,Primary 1,Primary,Male,6,Alhaji Abdullah Musa,08091234567,None
Zainab Abubakar,Primary 1,Primary,Female,6,Hajia Fatima Sani,08083456712,None
Ibrahim Aliyu,Primary 1,Primary,Male,5,Alhaji Yusuf Haruna,08075678901,None
Maryam Bello,Primary 1,Primary,Female,6,Hajia Amina Mohammed,08093478567,None
Hassan Abdullahi,Primary 1,Primary,Male,6,Alhaji Musa Ibrahim,08067894512,None
Aisha Tanko,Primary 1,Primary,Female,5,Hajia Khadija Bala,08084561239,None
Suleiman Abba,Primary 1,Primary,Male,6,Alhaji Usman Sani,08073458920,None
Halima Yusuf,Primary 1,Primary,Female,6,Hajia Salma Nuhu,08092347654,None
Musa Nuhu,Primary 1,Primary,Male,5,Alhaji Ahmed Bello,08087654321,None
Khadija Sani,Primary 1,Primary,Female,6,Hajia Hafsah Abubakar,08094561237,None
Yusuf Haruna,Primary 1,Primary,Male,6,Alhaji Ismail Kabir,08085437829,None
Rukaiya Musa,Primary 1,Primary,Female,5,Hajia Zainab Umar,08083465912,None
Aliyu Bala,Primary 1,Primary,Male,6,Alhaji Suleiman Tanko,08079834562,None
Abdullah Kabir,Primary 1,Primary,Male,6,Alhaji Farouk Shehu,08061239874,None
Fatima Mohammed,Primary 1,Primary,Female,5,Hajia Sumayyah Yusuf,08093247689,None
Ismail Shehu,Primary 1,Primary,Male,6,Alhaji Hassan Nuhu,08084376512,None
Lubna Umar,Primary 1,Primary,Female,6,Hajia Najwa Abba,08075432198,None
Bilal Ibrahim,Primary 1,Primary,Male,5,Alhaji Ahmed Mustapha,08068943125,None
Amina Mustapha,Primary 1,Primary,Female,6,Hajia Halima Tanko,08087345901,None
Khalid Abubakar,Primary 1,Primary,Male,6,Alhaji Rashid Sani,08092345678,None
Jamila Haruna,Primary 1,Primary,Female,5,Hajia Asma Yusuf,08073498567,None
Omar Bello,Primary 1,Primary,Male,6,Alhaji Usman Aliyu,08084561234,None
Safiya Sani,Primary 1,Primary,Female,6,Hajia Rukaiya Abubakar,08096543217,None
Tariq Ahmed,Primary 1,Primary,Male,5,Alhaji Zubair Suleiman,08079845123,None
Samira Nuhu,Primary 1,Primary,Female,6,Hajia Latifa Ibrahim,08091237854,None
Abdulrahman Tanko,Primary 1,Primary,Male,6,Alhaji Khalid Musa,08087346129,None
Nusaybah Bala,Primary 1,Primary,Female,6,Hajia Aisha Mohammed,08069843215,None
Zubair Ali,Primary 1,Primary,Male,5,Alhaji Ibrahim Haruna,08093475812,None
Salma Yusuf,Primary 1,Primary,Female,6,Hajia Khadija Mustapha,08087659234,None
Usman Kabir,Primary 1,Primary,Male,6,Alhaji Musa Abubakar,08094321876,None
full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Chinedu Okeke,Primary 2,Primary,Male,7,Mr Emeka Okeke,08031234567,None
Blessing Adeleke,Primary 2,Primary,Female,7,Pastor John Adeleke,08042345678,None
Obinna Chukwu,Primary 2,Primary,Male,6,Mr Ifeanyi Chukwu,08053456789,None
Grace Okafor,Primary 2,Primary,Female,7,Mrs Ngozi Okafor,08064567890,None
