full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Oluwatobi Adebayo,SS 1,Senior,Male,14,Mr Femi Adebayo,08031234574,None
Folakemi Ogunlesi,SS 1,Senior,Female,14,Mrs Yemisi Ogunlesi,08042345685,None
Ibrahim Suleiman,SS 1,Senior,Male,13,Alhaji Kabir Suleiman,08053456796,None
Amina Mohammed,SS 1,Senior,Female,14,Hajia Fatima Mohammed,08064567807,None
Chinedu Nwachukwu,SS 1,Senior,Male,14,Mr Emeka Nwachukwu,08075678918,None
Blessing Okafor,SS 1,Senior,Female,13,Mrs Ngozi Okafor,08086789029,None
Musa Bello,SS 1,Senior,Male,14,Alhaji Yusuf Bello,08097890140,None
Zainab Abubakar,SS 1,Senior,Female,14,Hajia Aisha Abubakar,08108901251,None
Emeka Okonkwo,SS 1,Senior,Male,13,Chief Obiora Okonkwo,08119012362,None
Grace Williams,SS 1,Senior,Female,14,Mrs Joy Williams,08120123473,None
Yusuf Tanko,SS 1,Senior,Male,14,Alhaji Sani Tanko,08131234584,None
Maryam Ibrahim,SS 1,Senior,Female,13,Hajia Halima Ibrahim,08142345695,None
Daniel Johnson,SS 1,Senior,Male,14,Mr Peter Johnson,08153456706,None
Sarah Brown,SS 1,Senior,Female,14,Mrs Patience Brown,08164567817,None
Abdullahi Nuhu,SS 1,Senior,Male,13,Alhaji Musa Nuhu,08175678928,None
Aisha Haruna,SS 1,Senior,Female,14,Hajia Zainab Haruna,08186789039,None
Kabiru Adamu,SS 1,Senior,Male,14,Alhaji Bello Adamu,08197890150,None
Fatima Yusuf,SS 1,Senior,Female,13,Hajia Amina Yusuf,08208901261,None
Samuel Okoro,SS 1,Senior,Male,14,Pastor John Okoro,08219012372,None
Ruth Daniel,SS 1,Senior,Female,14,Mrs Grace Daniel,08220123483,None
Obinna Chukwu,SS 1,Senior,Male,13,Mr Ifeanyi Chukwu,08231234594,None
Adaeze Onyema,SS 1,Senior,Female,14,Dr Uche Onyema,08242345605,None
Suleiman Ahmed,SS 1,Senior,Male,14,Alhaji Musa Ahmed,08253456716,None
Khadija Bala,SS 1,Senior,Female,13,Hajia Maryam Bala,08264567827,None
Chukwudi Eze,SS 1,Senior,Male,14,Mr Jude Eze,08275678938,None
Ngozi Nwosu,SS 1,Senior,Female,14,Mrs Amaka Nwosu,08286789049,None
Musa Kabir,SS 1,Senior,Male,13,Alhaji Haruna Kabir,08297890160,None
Halima Sani,SS 1,Senior,Female,14,Hajia Fatima Sani,08308901271,None
Ifeanyi Okafor,SS 1,Senior,Male,14,Mr Chinedu Okafor,08319012382,None
Amarachi Ezeogu,SS 1,Senior,Female,13,Dr Nkechi Ezeogu,08320123493,None
David Oladele,SS 2,Senior,Male,15,Chief Wale Oladele,08031234575,None
Esther Adeyemi,SS 2,Senior,Female,15,Mrs Ronke Adeyemi,08042345686,None
Musa Ibrahim,SS 2,Senior,Male,14,Alhaji Yusuf Ibrahim,08053456797,None
Zainab Tanko,SS 2,Senior,Female,15,Hajia Aisha Tanko,08064567808,None
Olumide Ogunlesi,SS 2,Senior,Male,15,Mr Tunde Ogunlesi,08075678919,None
Omolara Akinwunmi,SS 2,Senior,Female,14,Dr Funke Akinwunmi,08086789030,None
Abdullahi Bello,SS 2,Senior,Male,15,Alhaji Sani Bello,08097890141,None
Amina Abubakar,SS 2,Senior,Female,15,Hajia Halima Abubakar,08108901252,None
Kayode Ogunbayo,SS 2,Senior,Male,14,Mr Segun Ogunbayo,08119012363,None
Titilope Adesina,SS 2,Senior,Female,15,Mrs Bisi Adesina,08120123474,None
Yusuf Mohammed,SS 2,Senior,Male,15,Alhaji Kabir Mohammed,08131234585,None
Fatima Nuhu,SS 2,Senior,Female,14,Hajia Amina Nuhu,08142345696,None
Opeyemi Olawale,SS 2,Senior,Male,15,Pastor Dele Olawale,08153456707,None
Blessing Samuel,SS 2,Senior,Female,15,Mrs Joy Samuel,08164567818,None
Suleiman Haruna,SS 2,Senior,Male,14,Alhaji Musa Haruna,08175678929,None
Khadija Yusuf,SS 2,Senior,Female,15,Hajia Zainab Yusuf,08186789040,None
Chibuike Okoro,SS 2,Senior,Male,15,Mr Emeka Okoro,08197890151,None
Mary Johnson,SS 2,Senior,Female,14,Mrs Grace Johnson,08208901262,None
Ibrahim Ahmed,SS 2,Senior,Male,15,Alhaji Bello Ahmed,08219012373,None
Ruth Williams,SS 2,Senior,Female,15,Mrs Patience Williams,08220123484,None
Emmanuel Chukwu,SS 2,Senior,Male,14,Mr Ifeanyi Chukwu,08231234595,None
Adaeze Onyekwere,SS 2,Senior,Female,15,Dr Uche Onyekwere,08242345606,None
Kabiru Sani,SS 2,Senior,Male,15,Alhaji Haruna Sani,08253456717,None
Halima Bala,SS 2,Senior,Female,14,Hajia Maryam Bala,08264567828,None
Daniel Ezeogu,SS 2,Senior,Male,15,Mr Jude Ezeogu,08275678939,None
Sarah Nwankwo,SS 2,Senior,Female,15,Mrs Chinwe Nwankwo,08286789050,None
Musa Tanko,SS 2,Senior,Male,14,Alhaji Yusuf Tanko,08297890161,None
Aisha Kabir,SS 2,Senior,Female,15,Hajia Fatima Kabir,08308901272,None
Samuel Okafor,SS 2,Senior,Male,15,Pastor Chinedu Okafor,08319012383,None
Grace Okeke,SS 2,Senior,Female,14,Mrs Amaka Okeke,08320123494,None
Eze Chukwuma,SS 3,Senior,Male,16,Chief Obi Chukwuma,08031234576,None
Ngozi Okonkwo,SS 3,Senior,Female,16,Mrs Uche Okonkwo,08042345687,None
Musa Suleiman,SS 3,Senior,Male,15,Alhaji Kabir Suleiman,08053456798,None
Zainab Mohammed,SS 3,Senior,Female,16,Hajia Aisha Mohammed,08064567809,None
Chikaodinaka Nwafor,SS 3,Senior,Male,16,Mr Emeka Nwafor,08075678920,None
Amarachi Ezeogu,SS 3,Senior,Female,15,Dr Nkechi Ezeogu,08086789031,None
Abdullahi Bello,SS 3,Senior,Male,16,Alhaji Sani Bello,08097890142,None
Amina Abubakar,SS 3,Senior,Female,16,Hajia Halima Abubakar,08108901253,None
Obiora Onyekwere,SS 3,Senior,Male,15,Mr Ifeanyi Onyekwere,08119012364,None
Chidimma Okeke,SS 3,Senior,Female,16,Mrs Amaka Okeke,08120123475,None
Yusuf Tanko,SS 3,Senior,Male,16,Alhaji Musa Tanko,08131234586,None
Fatima Ibrahim,SS 3,Senior,Female,15,Hajia Amina Ibrahim,08142345697,None
Ifeanyichukwu Okafor,SS 3,Senior,Male,16,Pastor Chinedu Okafor,08153456708,None
Oluchi Nwankwo,SS 3,Senior,Female,16,Mrs Chinwe Nwankwo,08164567819,None
Suleiman Haruna,SS 3,Senior,Male,15,Alhaji Bello Haruna,08175678930,None
Khadija Nuhu,SS 3,Senior,Female,16,Hajia Zainab Nuhu,08186789041,None
Chibuike Okoro,SS 3,Senior,Male,16,Mr Emeka Okoro,08197890152,None
Mary Johnson,SS 3,Senior,Female,15,Mrs Grace Johnson,08208901263,None
Ibrahim Ahmed,SS 3,Senior,Male,16,Alhaji Musa Ahmed,08219012374,None
Ruth Williams,SS 3,Senior,Female,16,Mrs Patience Williams,08220123485,None
Emmanuel Chukwu,SS 3,Senior,Male,15,Mr Jude Chukwu,08231234596,None
Adaeze Onyema,SS 3,Senior,Female,16,Dr Uche Onyema,08242345607,None
Kabiru Sani,SS 3,Senior,Male,16,Alhaji Haruna Sani,08253456718,None
Halima Bala,SS 3,Senior,Female,15,Hajia Maryam Bala,08264567829,None
Daniel Ezeogu,SS 3,Senior,Male,16,Mr Ifeanyi Ezeogu,08275678940,None
Sarah Nwosu,SS 3,Senior,Female,16,Mrs Amaka Nwosu,08286789051,None
Musa Kabir,SS 3,Senior,Male,15,Alhaji Yusuf Kabir,08297890162,None
Aisha Yusuf,SS 3,Senior,Female,16,Hajia Fatima Yusuf,08308901273,None
Samuel Okafor,SS 3,Senior,Male,16,Pastor John Okafor,08319012384,None
Grace Okeke,SS 3,Senior,Female,15,Mrs Ngozi Okeke,08320123495,None
