full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Yusuf Bello,SS 3,Senior,Male,17,Alhaji Bello,09876543210,None
Grace Okoro,SS 3,Senior,Female,17,Mr Okoro,09876543211,None
Musa Abubakar,SS 3,Senior,Male,18,Mr Abubakar,09876543212,None
Sarah Johnson,SS 3,Senior,Female,17,Mrs Johnson,09876543213,None
James Mohammed,SS 3,Senior,Male,18,Alhaji Mohammed,09876543214,None
Amina Ibrahim,SS 3,Senior,Female,17,Mrs Ibrahim,09876543215,None
Daniel Adekunle,SS 3,Senior,Male,18,Mr Adekunle,09876543216,None
Fatima Okafor,SS 3,Senior,Female,17,Mrs Okafor,09876543217,None
Joseph Eze,SS 3,Senior,Male,18,Pastor Eze,09876543218,None
Hauwa Yusuf,SS 3,Senior,Female,17,Mr Yusuf,09876543219,None
Peter Okonkwo,SS 3,Senior,Male,18,Mr Okonkwo,09876543220,None
Aisha Musa,SS 3,Senior,Female,17,Mrs Musa,09876543221,None
Emmanuel Ojo,SS 3,Senior,Male,18,Mr Ojo,09876543222,None
Khadija Bello,SS 3,Senior,Female,17,Alhaji Bello,09876543223,None
John Mark,SS 3,Senior,Male,18,Mr Mark,09876543224,None
Halima Adamu,SS 3,Senior,Female,17,Mrs Adamu,09876543225,None
Michael Okeke,SS 3,Senior,Male,18,Mr Okeke,09876543226,None
Aisha Abdullahi,SS 3,Senior,Female,17,Mrs Abdullahi,09876543227,None
David Okafor,SS 3,Senior,Male,18,Mr Okafor,09876543228,None
Mary Williams,SS 3,Senior,Female,17,Mrs Williams,09876543229,None
Ibrahim Suleiman,SS 3,Senior,Male,18,Mr Suleiman,09876543230,None
Grace Samuel,SS 3,Senior,Female,17,Mrs Samuel,09876543231,None
Mohammed Bala,SS 3,Senior,Male,18,Alhaji Bala,09876543232,None
Ruth Daniel,SS 3,Senior,Female,17,Mr Daniel,09876543233,None
Yusuf Kabir,SS 3,Senior,Male,18,Mr Kabir,09876543234,None
Elizabeth Matthew,SS 3,Senior,Female,17,Mrs Matthew,09876543235,None
Sani Nuhu,SS 3,Senior,Male,18,Alhaji Nuhu,09876543236,None
Mercy Okonkwo,SS 3,Senior,Female,17,Mrs Okonkwo,09876543237,None
Ahmed Musa,SS 3,Senior,Male,18,Mr Musa,09876543238,None
Esther John,SS 3,Senior,Female,17,Pastor John,09876543239,None
